Category,Description,Region_Index,Value,Brain_Region,ggseg,Hemisphere,Base_Region
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,53,2.3415368,ctx-rh-pericalcarine,ctx-rh-pericalcarine,Right,pericalcarine
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,54,0.771941,ctx-rh-postcentral,ctx-rh-postcentral,Right,postcentral
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,55,-0.5912674,ctx-rh-posteriorcingulate,ctx-rh-posteriorcingulate,Right,posteriorcingulate
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,56,0.34224537,ctx-rh-precentral,ctx-rh-precentral,Right,precentral
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,57,0.5920304,ctx-rh-precuneus,ctx-rh-precuneus,Right,precuneus
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,58,-1.8869721,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralanteriorcingulate,Right,rostralanteriorcingulate
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,59,-0.5121625,ctx-rh-rostralmiddlefrontal,ctx-rh-rostralmiddlefrontal,Right,rostralmiddlefrontal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,60,-0.7362972,ctx-rh-superiorfrontal,ctx-rh-superiorfrontal,Right,superiorfrontal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,61,0.54378706,ctx-rh-superiorparietal,ctx-rh-superiorparietal,Right,superiorparietal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,62,-0.63808286,ctx-rh-superiortemporal,ctx-rh-superiortemporal,Right,superiortemporal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,63,0.18538228,ctx-rh-supramarginal,ctx-rh-supramarginal,Right,supramarginal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,64,-0.8896282,ctx-rh-frontalpole,ctx-rh-frontalpole,Right,frontalpole
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,65,-2.0464787,ctx-rh-temporalpole,ctx-rh-temporalpole,Right,temporalpole
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,66,0.3314804,ctx-rh-transversetemporal,ctx-rh-transversetemporal,Right,transversetemporal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,67,-0.85770607,ctx-rh-insula,ctx-rh-insula,Right,insula
Functional hierarchy,Margulies PG1,0,1.2495115,ctx-lh-bankssts,ctx-lh-bankssts,Left,bankssts
Functional hierarchy,Margulies PG1,1,-1.3406259,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalanteriorcingulate,Left,caudalanteriorcingulate
Functional hierarchy,Margulies PG1,2,4.1384435,ctx-lh-caudalmiddlefrontal,ctx-lh-caudalmiddlefrontal,Left,caudalmiddlefrontal
Functional hierarchy,Margulies PG1,3,-4.399496,ctx-lh-cuneus,ctx-lh-cuneus,Left,cuneus
Functional hierarchy,Margulies PG1,4,0.6955264,ctx-lh-entorhinal,ctx-lh-entorhinal,Left,entorhinal
Functional hierarchy,Margulies PG1,5,-1.7496527,ctx-lh-fusiform,ctx-lh-fusiform,Left,fusiform
Functional hierarchy,Margulies PG1,6,3.0767102,ctx-lh-inferiorparietal,ctx-lh-inferiorparietal,Left,inferiorparietal
Functional hierarchy,Margulies PG1,7,2.0323653,ctx-lh-inferiortemporal,ctx-lh-inferiortemporal,Left,inferiortemporal
Functional hierarchy,Margulies PG1,8,2.797269,ctx-lh-isthmuscingulate,ctx-lh-isthmuscingulate,Left,isthmuscingulate
Functional hierarchy,Margulies PG1,9,-2.9937806,ctx-lh-lateraloccipital,ctx-lh-lateraloccipital,Left,lateraloccipital
Functional hierarchy,Margulies PG1,10,3.4573288,ctx-lh-lateralorbitofrontal,ctx-lh-lateralorbitofrontal,Left,lateralorbitofrontal
Functional hierarchy,Margulies PG1,11,-4.0942883,ctx-lh-lingual,ctx-lh-lingual,Left,lingual
Functional hierarchy,Margulies PG1,12,5.350601,ctx-lh-medialorbitofrontal,ctx-lh-medialorbitofrontal,Left,medialorbitofrontal
Functional hierarchy,Margulies PG1,13,4.7504263,ctx-lh-middletemporal,ctx-lh-middletemporal,Left,middletemporal
Functional hierarchy,Margulies PG1,14,1.825535,ctx-lh-parahippocampal,ctx-lh-parahippocampal,Left,parahippocampal
Functional hierarchy,Margulies PG1,15,-4.9581604,ctx-lh-paracentral,ctx-lh-paracentral,Left,paracentral
Functional hierarchy,Margulies PG1,16,1.5567614,ctx-lh-parsopercularis,ctx-lh-parsopercularis,Left,parsopercularis
Functional hierarchy,Margulies PG1,17,5.850498,ctx-lh-parsorbitalis,ctx-lh-parsorbitalis,Left,parsorbitalis
Functional hierarchy,Margulies PG1,18,2.8187428,ctx-lh-parstriangularis,ctx-lh-parstriangularis,Left,parstriangularis
Functional hierarchy,Margulies PG1,19,-3.8943834,ctx-lh-pericalcarine,ctx-lh-pericalcarine,Left,pericalcarine
Functional hierarchy,Margulies PG1,20,-4.993539,ctx-lh-postcentral,ctx-lh-postcentral,Left,postcentral
Functional hierarchy,Margulies PG1,21,0.384695,ctx-lh-posteriorcingulate,ctx-lh-posteriorcingulate,Left,posteriorcingulate
Functional hierarchy,Margulies PG1,22,-4.0047946,ctx-lh-precentral,ctx-lh-precentral,Left,precentral
Functional hierarchy,Margulies PG1,23,1.4134121,ctx-lh-precuneus,ctx-lh-precuneus,Left,precuneus
Functional hierarchy,Margulies PG1,24,3.5256112,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralanteriorcingulate,Left,rostralanteriorcingulate
Functional hierarchy,Margulies PG1,25,3.1079211,ctx-lh-rostralmiddlefrontal,ctx-lh-rostralmiddlefrontal,Left,rostralmiddlefrontal
Functional hierarchy,Margulies PG1,26,2.1387706,ctx-lh-superiorfrontal,ctx-lh-superiorfrontal,Left,superiorfrontal
Functional hierarchy,Margulies PG1,27,-2.9966486,ctx-lh-superiorparietal,ctx-lh-superiorparietal,Left,superiorparietal
Functional hierarchy,Margulies PG1,28,-1.1171145,ctx-lh-superiortemporal,ctx-lh-superiortemporal,Left,superiortemporal
Functional hierarchy,Margulies PG1,29,-0.17770983,ctx-lh-supramarginal,ctx-lh-supramarginal,Left,supramarginal
Functional hierarchy,Margulies PG1,30,6.4400287,ctx-lh-frontalpole,ctx-lh-frontalpole,Left,frontalpole
Functional hierarchy,Margulies PG1,31,4.09859,ctx-lh-temporalpole,ctx-lh-temporalpole,Left,temporalpole
Functional hierarchy,Margulies PG1,32,-3.6997476,ctx-lh-transversetemporal,ctx-lh-transversetemporal,Left,transversetemporal
Functional hierarchy,Margulies PG1,33,-2.481834,ctx-lh-insula,ctx-lh-insula,Left,insula
Functional hierarchy,Margulies PG1,34,-0.038666483,ctx-rh-bankssts,ctx-rh-bankssts,Right,bankssts
Functional hierarchy,Margulies PG1,35,-0.8998793,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalanteriorcingulate,Right,caudalanteriorcingulate
Functional hierarchy,Margulies PG1,36,3.6425574,ctx-rh-caudalmiddlefrontal,ctx-rh-caudalmiddlefrontal,Right,caudalmiddlefrontal
Functional hierarchy,Margulies PG1,37,-4.3811855,ctx-rh-cuneus,ctx-rh-cuneus,Right,cuneus
Functional hierarchy,Margulies PG1,38,0.81881416,ctx-rh-entorhinal,ctx-rh-entorhinal,Right,entorhinal
Functional hierarchy,Margulies PG1,39,-2.2805417,ctx-rh-fusiform,ctx-rh-fusiform,Right,fusiform
Functional hierarchy,Margulies PG1,40,2.5560873,ctx-rh-inferiorparietal,ctx-rh-inferiorparietal,Right,inferiorparietal
